Date,Product,ProductClean,VendorFinal,OG/CV,Location,volume_unit
7/11/2025,Roma,Roma,KINGDOM,0.0,Texas,pallet
7/11/2025,Roma,Roma,KINGDOM,0.0,Texas,pallet
7/11/2025,Grape,Grape,KINGDOM,0.0,Texas,pallet
7/11/2025,Grape,Grape,KALIROY,0.0,Texas,pallet
7/11/2025,TOV,TOV,RDESUN,0.0,Texas,load
7/11/2025,Heirloom,Heirloom,Red Sun,0.0,Texas,pallet
7/11/2025,Beef Steak Tomato,Beef Steak Tomato,Red Sun,0.0,Texas,case
7/11/2025,Zucchini,Zucchini,Lakeway,0.0,Texas,case
7/11/2025,Slicer,Slicer,KINGDOM,0.0,Texas,pallet
7/11/2025,Slicer,Slicer,KINGDOM,0.0,Texas,pallet
7/11/2025,Slicer,Slicer,farmers,0.0,Texas,pallet
7/11/2025,Slicer,Slicer,farmers,0.0,Texas,pallet
7/11/2025,Red Bell 11lb,Red Bell 11lb,Red Sun,0.0,Texas,case
7/11/2025,Red Bell 11lb,Red Bell 11lb,Red Sun,0.0,Texas,case
7/11/2025,Red Bell 11lb,Red Bell 11lb,Kingdom,0.0,Texas,case
7/11/2025,Red Bell 11lb,Red Bell 11lb,Kingdom,0.0,Texas,case
7/11/2025,Yellow Bell 11lb,Yellow Bell 11lb,Kingdom,0.0,Texas,case
7/11/2025,Orange Bell 11lb,Orange Bell 11lb,Kingdom,0.0,Texas,case
7/11/2025,Red Bell 11lb,Red Bell 11lb,Harvest Best LLC,0.0,Texas,pallet
7/11/2025,Yellow Bell 11lb,Yellow Bell 11lb,Harvest Best LLC,0.0,Texas,pallet
